# energy dos
-5.767900000000000027e+00 0.000000000000000000e+00
-5.743900000000000006e+00 0.000000000000000000e+00
-5.719899999999999984e+00 0.000000000000000000e+00
-5.695899999999999963e+00 0.000000000000000000e+00
-5.671899999999999942e+00 0.000000000000000000e+00
-5.647899999999999920e+00 0.000000000000000000e+00
-5.623899999999999899e+00 0.000000000000000000e+00
-5.599899999999999878e+00 0.000000000000000000e+00
-5.575899999999999856e+00 0.000000000000000000e+00
-5.551899999999999835e+00 0.000000000000000000e+00
-5.527899999999999814e+00 0.000000000000000000e+00
-5.503899999999999793e+00 0.000000000000000000e+00
-5.479899999999999771e+00 0.000000000000000000e+00
-5.455899999999999750e+00 0.000000000000000000e+00
-5.431899999999999729e+00 0.000000000000000000e+00
-5.407899999999999707e+00 0.000000000000000000e+00
-5.383900000000000574e+00 0.000000000000000000e+00
-5.359899999999999665e+00 0.000000000000000000e+00
-5.335900000000000531e+00 0.000000000000000000e+00
-5.311899999999999622e+00 0.000000000000000000e+00
-5.287900000000000489e+00 0.000000000000000000e+00
-5.263899999999999579e+00 0.000000000000000000e+00
-5.239900000000000446e+00 0.000000000000000000e+00
-5.215899999999999537e+00 0.000000000000000000e+00
-5.191900000000000404e+00 0.000000000000000000e+00
-5.167899999999999494e+00 0.000000000000000000e+00
-5.143900000000000361e+00 0.000000000000000000e+00
-5.119899999999999451e+00 0.000000000000000000e+00
-5.095900000000000318e+00 0.000000000000000000e+00
-5.071899999999999409e+00 0.000000000000000000e+00
-5.047900000000000276e+00 0.000000000000000000e+00
-5.023899999999999366e+00 0.000000000000000000e+00
-4.999900000000000233e+00 0.000000000000000000e+00
-4.975900000000000212e+00 0.000000000000000000e+00
-4.951900000000000190e+00 0.000000000000000000e+00
-4.927900000000000169e+00 0.000000000000000000e+00
-4.903900000000000148e+00 0.000000000000000000e+00
-4.879900000000000126e+00 0.000000000000000000e+00
-4.855900000000000105e+00 0.000000000000000000e+00
-4.831900000000000084e+00 0.000000000000000000e+00
-4.807900000000000063e+00 0.000000000000000000e+00
-4.783900000000000041e+00 0.000000000000000000e+00
-4.759900000000000020e+00 0.000000000000000000e+00
-4.735899999999999999e+00 0.000000000000000000e+00
-4.711899999999999977e+00 0.000000000000000000e+00
-4.687899999999999956e+00 0.000000000000000000e+00
-4.663899999999999935e+00 0.000000000000000000e+00
-4.639899999999999913e+00 0.000000000000000000e+00
-4.615899999999999892e+00 0.000000000000000000e+00
-4.591899999999999871e+00 0.000000000000000000e+00
-4.567899999999999849e+00 0.000000000000000000e+00
-4.543899999999999828e+00 0.000000000000000000e+00
-4.519899999999999807e+00 0.000000000000000000e+00
-4.495899999999999785e+00 9.667000000000000037e-01
-4.471899999999999764e+00 2.587499999999999911e+00
-4.447899999999999743e+00 4.880200000000000315e+00
-4.423899999999999721e+00 4.004599999999999937e+00
-4.399899999999999700e+00 4.627200000000000202e+00
-4.375899999999999679e+00 4.904200000000000337e+00
-4.351899999999999658e+00 5.118599999999999817e+00
-4.327899999999999636e+00 8.820700000000000429e+00
-4.303899999999999615e+00 7.546999999999999709e+00
-4.279899999999999594e+00 3.110500000000000043e+00
-4.255900000000000460e+00 3.091499999999999915e+00
-4.231899999999999551e+00 3.082100000000000062e+00
-4.207900000000000418e+00 3.082199999999999829e+00
-4.183899999999999508e+00 3.091800000000000104e+00
-4.159900000000000375e+00 1.052250000000000085e+01
-4.135899999999999466e+00 5.471199999999999619e+00
-4.111900000000000333e+00 4.137699999999999712e+00
-4.087899999999999423e+00 4.192400000000000126e+00
-4.063900000000000290e+00 4.264400000000000190e+00
-4.039899999999999380e+00 4.353799999999999670e+00
-4.015900000000000247e+00 4.452899999999999636e+00
-3.991899999999999782e+00 4.508499999999999730e+00
-3.967899999999999761e+00 3.946899999999999853e+00
-3.943900000000000183e+00 4.558200000000000252e+00
-3.919900000000000162e+00 4.155400000000000205e+00
-3.895900000000000141e+00 3.687500000000000000e+00
-3.871900000000000119e+00 3.552799999999999958e+00
-3.847900000000000098e+00 3.515400000000000080e+00
-3.823900000000000077e+00 3.434400000000000119e+00
-3.799900000000000055e+00 3.319700000000000095e+00
-3.775900000000000034e+00 3.237899999999999778e+00
-3.751900000000000013e+00 3.644099999999999895e+00
-3.727899999999999991e+00 3.438099999999999934e+00
-3.703899999999999970e+00 3.479999999999999982e+00
-3.679899999999999949e+00 3.526899999999999924e+00
-3.655899999999999928e+00 3.578800000000000203e+00
-3.631899999999999906e+00 4.480900000000000105e+00
-3.607899999999999885e+00 5.237499999999999822e+00
-3.583899999999999864e+00 4.410199999999999676e+00
-3.559899999999999842e+00 4.476799999999999891e+00
-3.535899999999999821e+00 4.945800000000000196e+00
-3.511899999999999800e+00 4.361699999999999910e+00
-3.487899999999999778e+00 4.449799999999999756e+00
-3.463899999999999757e+00 4.542799999999999727e+00
-3.439899999999999736e+00 4.640799999999999592e+00
-3.415899999999999714e+00 5.767800000000000260e+00
-3.391899999999999693e+00 4.607099999999999973e+00
-3.367899999999999672e+00 4.685100000000000264e+00
-3.343900000000000095e+00 4.669699999999999740e+00
-3.319900000000000073e+00 4.765200000000000102e+00
-3.295900000000000052e+00 4.885699999999999932e+00
-3.271900000000000031e+00 5.019899999999999807e+00
-3.247900000000000009e+00 4.979499999999999815e+00
-3.223899999999999988e+00 5.057800000000000296e+00
-3.199899999999999967e+00 5.133200000000000429e+00
-3.175899999999999945e+00 5.200999999999999623e+00
-3.151899999999999924e+00 5.262100000000000222e+00
-3.127899999999999903e+00 5.435100000000000264e+00
-3.103899999999999881e+00 5.753400000000000070e+00
-3.079899999999999860e+00 6.428099999999999703e+00
-3.055899999999999839e+00 6.333899999999999864e+00
-3.031899999999999817e+00 6.382500000000000284e+00
-3.007899999999999796e+00 6.700499999999999901e+00
-2.983899999999999775e+00 7.155999999999999694e+00
-2.959899999999999753e+00 8.033699999999999619e+00
-2.935899999999999732e+00 8.326399999999999579e+00
-2.911899999999999711e+00 8.925399999999999778e+00
-2.887900000000000134e+00 9.169600000000000861e+00
-2.863900000000000112e+00 9.340700000000000003e+00
-2.839900000000000091e+00 1.136909999999999954e+01
-2.815900000000000070e+00 5.042600000000000193e+00
-2.791900000000000048e+00 3.901600000000000179e+00
-2.767900000000000027e+00 3.564200000000000035e+00
-2.743900000000000006e+00 3.563800000000000079e+00
-2.719899999999999984e+00 3.560200000000000031e+00
-2.695899999999999963e+00 3.417600000000000193e+00
-2.671899999999999942e+00 3.354299999999999837e+00
-2.647899999999999920e+00 3.295700000000000074e+00
-2.623899999999999899e+00 3.237299999999999844e+00
-2.599899999999999878e+00 3.153300000000000214e+00
-2.575899999999999856e+00 3.015899999999999803e+00
-2.551899999999999835e+00 2.772299999999999986e+00
-2.527899999999999814e+00 2.655100000000000016e+00
-2.503899999999999793e+00 2.582199999999999829e+00
-2.479899999999999771e+00 2.519600000000000062e+00
-2.455899999999999750e+00 2.455499999999999794e+00
-2.431899999999999729e+00 2.389800000000000146e+00
-2.407899999999999707e+00 2.322599999999999998e+00
-2.383899999999999686e+00 2.253899999999999793e+00
-2.359899999999999665e+00 2.183699999999999974e+00
-2.335899999999999643e+00 2.112000000000000099e+00
-2.311900000000000066e+00 2.314599999999999991e+00
-2.287900000000000045e+00 2.212299999999999933e+00
-2.263900000000000023e+00 2.097999999999999865e+00
-2.239900000000000002e+00 1.976099999999999968e+00
-2.215899999999999981e+00 1.897799999999999931e+00
-2.191899999999999959e+00 1.919100000000000028e+00
-2.167899999999999938e+00 1.952399999999999913e+00
-2.143899999999999917e+00 2.049999999999999822e+00
-2.119899999999999896e+00 2.262199999999999989e+00
-2.095899999999999874e+00 2.384999999999999787e+00
-2.071899999999999853e+00 2.512500000000000178e+00
-2.047899999999999832e+00 2.644800000000000040e+00
-2.023899999999999810e+00 2.781899999999999817e+00
-1.999900000000000011e+00 2.923599999999999977e+00
-1.975899999999999990e+00 3.014100000000000001e+00
-1.951899999999999968e+00 3.062100000000000044e+00
-1.927899999999999947e+00 3.112000000000000099e+00
-1.903899999999999926e+00 3.163600000000000190e+00
-1.879899999999999904e+00 3.211300000000000043e+00
-1.855899999999999883e+00 3.255799999999999805e+00
-1.831899999999999862e+00 3.300800000000000178e+00
-1.807899999999999840e+00 3.345800000000000107e+00
-1.783899999999999819e+00 3.395099999999999785e+00
-1.759900000000000020e+00 3.454000000000000181e+00
-1.735899999999999999e+00 3.307900000000000063e+00
-1.711899999999999977e+00 3.377200000000000202e+00
-1.687899999999999956e+00 2.646900000000000031e+00
-1.663899999999999935e+00 1.904800000000000049e+00
-1.639899999999999913e+00 1.367799999999999905e+00
-1.615899999999999892e+00 1.133099999999999996e+00
-1.591899999999999871e+00 1.093299999999999939e+00
-1.567899999999999849e+00 1.208700000000000108e+00
-1.543899999999999828e+00 1.282899999999999929e+00
-1.519899999999999807e+00 1.379199999999999982e+00
-1.495900000000000007e+00 1.628700000000000037e+00
-1.471899999999999986e+00 1.833099999999999952e+00
-1.447899999999999965e+00 2.086500000000000021e+00
-1.423899999999999944e+00 2.373000000000000220e+00
-1.399899999999999922e+00 2.676099999999999923e+00
-1.375899999999999901e+00 2.995200000000000085e+00
-1.351899999999999880e+00 3.332300000000000040e+00
-1.327899999999999858e+00 3.689700000000000202e+00
-1.303899999999999837e+00 4.070899999999999963e+00
-1.279899999999999816e+00 4.534799999999999720e+00
-1.255900000000000016e+00 5.063900000000000290e+00
-1.231899999999999995e+00 5.924100000000000144e+00
-1.207899999999999974e+00 6.922299999999999898e+00
-1.183899999999999952e+00 8.058500000000000441e+00
-1.159899999999999931e+00 6.133799999999999919e+00
-1.135899999999999910e+00 5.911100000000000243e+00
-1.111899999999999888e+00 6.303099999999999703e+00
-1.087899999999999867e+00 7.592500000000000249e+00
-1.063899999999999846e+00 9.791800000000000281e+00
-1.039899999999999824e+00 7.354499999999999815e+00
-1.015899999999999803e+00 6.496100000000000207e+00
-9.918999999999997819e-01 6.092500000000000249e+00
-9.678999999999997605e-01 6.007299999999999862e+00
-9.438999999999997392e-01 6.051899999999999835e+00
-9.198999999999997179e-01 5.821799999999999642e+00
-8.958999999999996966e-01 5.800500000000000433e+00
-8.719000000000001194e-01 5.957499999999999574e+00
-8.479000000000000981e-01 6.027099999999999902e+00
-8.239000000000000767e-01 6.003499999999999837e+00
-7.999000000000000554e-01 5.864200000000000301e+00
-7.759000000000000341e-01 5.570599999999999774e+00
-7.519000000000000128e-01 5.280800000000000161e+00
-7.278999999999999915e-01 5.026099999999999568e+00
-7.038999999999999702e-01 4.768200000000000216e+00
-6.798999999999999488e-01 4.488900000000000112e+00
-6.558999999999999275e-01 4.242600000000000371e+00
-6.318999999999999062e-01 4.015600000000000058e+00
-6.078999999999998849e-01 3.799399999999999888e+00
-5.838999999999998636e-01 3.608699999999999797e+00
-5.598999999999998423e-01 3.334600000000000009e+00
-5.358999999999998209e-01 3.306799999999999962e+00
-5.118999999999997996e-01 3.282399999999999984e+00
-4.878999999999997783e-01 3.219199999999999839e+00
-4.638999999999997570e-01 3.039099999999999913e+00
-4.398999999999997357e-01 3.051699999999999857e+00
-4.158999999999997144e-01 3.096900000000000208e+00
-3.918999999999996930e-01 2.872100000000000097e+00
-3.679000000000001158e-01 2.666700000000000070e+00
-3.439000000000000945e-01 2.480700000000000127e+00
-3.199000000000000732e-01 2.314000000000000057e+00
-2.959000000000000519e-01 2.233099999999999863e+00
-2.719000000000000306e-01 2.162599999999999856e+00
-2.479000000000000092e-01 2.090100000000000069e+00
-2.238999999999999879e-01 2.015400000000000080e+00
-1.998999999999999666e-01 1.938499999999999890e+00
-1.758999999999999453e-01 1.859599999999999920e+00
-1.518999999999999240e-01 1.778499999999999970e+00
-1.278999999999999027e-01 1.695200000000000040e+00
-1.038999999999998813e-01 1.609799999999999898e+00
-7.989999999999986002e-02 3.771999999999999797e+00
-5.589999999999983871e-02 1.498599999999999932e+00
-3.189999999999981739e-02 1.204700000000000104e+00
-7.899999999999796074e-03 7.773999999999999799e-01
1.610000000000022524e-02 2.429999999999999938e-01
4.010000000000024656e-02 0.000000000000000000e+00
6.410000000000026787e-02 0.000000000000000000e+00
8.810000000000028919e-02 0.000000000000000000e+00
1.120999999999998664e-01 0.000000000000000000e+00
1.360999999999998877e-01 0.000000000000000000e+00
1.600999999999999091e-01 0.000000000000000000e+00
1.840999999999999304e-01 0.000000000000000000e+00
2.080999999999999517e-01 0.000000000000000000e+00
2.320999999999999730e-01 0.000000000000000000e+00
2.560999999999999943e-01 0.000000000000000000e+00
2.801000000000000156e-01 0.000000000000000000e+00
3.041000000000000369e-01 0.000000000000000000e+00
3.281000000000000583e-01 0.000000000000000000e+00
3.521000000000000796e-01 0.000000000000000000e+00
3.761000000000001009e-01 0.000000000000000000e+00
4.001000000000001222e-01 0.000000000000000000e+00
4.241000000000001435e-01 0.000000000000000000e+00
4.481000000000001648e-01 0.000000000000000000e+00
4.721000000000001862e-01 0.000000000000000000e+00
4.961000000000002075e-01 0.000000000000000000e+00
5.201000000000002288e-01 0.000000000000000000e+00
5.441000000000002501e-01 0.000000000000000000e+00
5.681000000000002714e-01 0.000000000000000000e+00
5.921000000000002927e-01 0.000000000000000000e+00
6.160999999999998700e-01 0.000000000000000000e+00
6.400999999999998913e-01 0.000000000000000000e+00
6.640999999999999126e-01 0.000000000000000000e+00
6.880999999999999339e-01 0.000000000000000000e+00
7.120999999999999552e-01 0.000000000000000000e+00
7.360999999999999766e-01 0.000000000000000000e+00
7.600999999999999979e-01 0.000000000000000000e+00
7.841000000000000192e-01 0.000000000000000000e+00
8.081000000000000405e-01 0.000000000000000000e+00
8.321000000000000618e-01 0.000000000000000000e+00
8.561000000000000831e-01 0.000000000000000000e+00
8.801000000000001044e-01 0.000000000000000000e+00
9.041000000000001258e-01 0.000000000000000000e+00
9.281000000000001471e-01 0.000000000000000000e+00
9.521000000000001684e-01 0.000000000000000000e+00
9.761000000000001897e-01 0.000000000000000000e+00
1.000099999999999767e+00 0.000000000000000000e+00
1.024099999999999788e+00 0.000000000000000000e+00
1.048099999999999810e+00 0.000000000000000000e+00
1.072099999999999831e+00 0.000000000000000000e+00
1.096099999999999852e+00 0.000000000000000000e+00
1.120099999999999874e+00 0.000000000000000000e+00
1.144099999999999895e+00 0.000000000000000000e+00
1.168099999999999916e+00 0.000000000000000000e+00
1.192099999999999937e+00 0.000000000000000000e+00
1.216099999999999959e+00 0.000000000000000000e+00
1.240099999999999980e+00 0.000000000000000000e+00
1.264100000000000001e+00 0.000000000000000000e+00
1.288100000000000023e+00 0.000000000000000000e+00
1.312100000000000044e+00 0.000000000000000000e+00
1.336100000000000065e+00 0.000000000000000000e+00
1.360100000000000087e+00 0.000000000000000000e+00
1.384100000000000108e+00 0.000000000000000000e+00
1.408100000000000129e+00 0.000000000000000000e+00
1.432100000000000151e+00 0.000000000000000000e+00
1.456100000000000172e+00 0.000000000000000000e+00
1.480100000000000193e+00 0.000000000000000000e+00
1.504100000000000215e+00 0.000000000000000000e+00
1.528100000000000236e+00 0.000000000000000000e+00
1.552100000000000257e+00 0.000000000000000000e+00
1.576100000000000279e+00 0.000000000000000000e+00
1.600100000000000300e+00 0.000000000000000000e+00
1.624100000000000321e+00 0.000000000000000000e+00
1.648100000000000342e+00 0.000000000000000000e+00
1.672100000000000364e+00 0.000000000000000000e+00
1.696100000000000385e+00 0.000000000000000000e+00
1.720100000000000406e+00 0.000000000000000000e+00
1.744100000000000428e+00 0.000000000000000000e+00
1.768100000000000449e+00 0.000000000000000000e+00
1.792100000000000470e+00 0.000000000000000000e+00
1.816100000000000492e+00 0.000000000000000000e+00
1.840100000000000513e+00 0.000000000000000000e+00
1.864099999999999646e+00 0.000000000000000000e+00
1.888099999999999667e+00 0.000000000000000000e+00
1.912099999999999689e+00 0.000000000000000000e+00
1.936099999999999710e+00 0.000000000000000000e+00
1.960099999999999731e+00 0.000000000000000000e+00
1.984099999999999753e+00 0.000000000000000000e+00
2.008099999999999774e+00 0.000000000000000000e+00
2.032099999999999795e+00 0.000000000000000000e+00
2.056099999999999817e+00 0.000000000000000000e+00
2.080099999999999838e+00 0.000000000000000000e+00
2.104099999999999859e+00 0.000000000000000000e+00
2.128099999999999881e+00 0.000000000000000000e+00
2.152099999999999902e+00 0.000000000000000000e+00
2.176099999999999923e+00 0.000000000000000000e+00
2.200099999999999945e+00 0.000000000000000000e+00
2.224099999999999966e+00 0.000000000000000000e+00
2.248099999999999987e+00 0.000000000000000000e+00
2.272100000000000009e+00 0.000000000000000000e+00
2.296100000000000030e+00 0.000000000000000000e+00
2.320100000000000051e+00 4.859999999999999737e-02
2.344100000000000072e+00 1.023000000000000020e-01
2.368100000000000094e+00 1.227000000000000035e-01
