# energy dos
-5.737000000000000099e+00 0.000000000000000000e+00
-5.712999999999999190e+00 0.000000000000000000e+00
-5.689000000000000057e+00 0.000000000000000000e+00
-5.664999999999999147e+00 0.000000000000000000e+00
-5.641000000000000014e+00 0.000000000000000000e+00
-5.616999999999999993e+00 0.000000000000000000e+00
-5.592999999999999972e+00 0.000000000000000000e+00
-5.568999999999999950e+00 0.000000000000000000e+00
-5.544999999999999929e+00 0.000000000000000000e+00
-5.520999999999999908e+00 0.000000000000000000e+00
-5.496999999999999886e+00 0.000000000000000000e+00
-5.472999999999999865e+00 0.000000000000000000e+00
-5.448999999999999844e+00 0.000000000000000000e+00
-5.424999999999999822e+00 0.000000000000000000e+00
-5.400999999999999801e+00 0.000000000000000000e+00
-5.376999999999999780e+00 0.000000000000000000e+00
-5.352999999999999758e+00 0.000000000000000000e+00
-5.328999999999999737e+00 0.000000000000000000e+00
-5.304999999999999716e+00 0.000000000000000000e+00
-5.280999999999999694e+00 0.000000000000000000e+00
-5.256999999999999673e+00 0.000000000000000000e+00
-5.232999999999999652e+00 0.000000000000000000e+00
-5.208999999999999631e+00 0.000000000000000000e+00
-5.184999999999999609e+00 0.000000000000000000e+00
-5.160999999999999588e+00 0.000000000000000000e+00
-5.136999999999999567e+00 0.000000000000000000e+00
-5.112999999999999545e+00 0.000000000000000000e+00
-5.089000000000000412e+00 0.000000000000000000e+00
-5.064999999999999503e+00 0.000000000000000000e+00
-5.040999999999999481e+00 0.000000000000000000e+00
-5.016999999999999460e+00 0.000000000000000000e+00
-4.993000000000000327e+00 0.000000000000000000e+00
-4.968999999999999417e+00 0.000000000000000000e+00
-4.945000000000000284e+00 0.000000000000000000e+00
-4.920999999999999375e+00 0.000000000000000000e+00
-4.897000000000000242e+00 0.000000000000000000e+00
-4.872999999999999332e+00 0.000000000000000000e+00
-4.849000000000000199e+00 0.000000000000000000e+00
-4.824999999999999289e+00 0.000000000000000000e+00
-4.801000000000000156e+00 0.000000000000000000e+00
-4.776999999999999247e+00 0.000000000000000000e+00
-4.753000000000000114e+00 0.000000000000000000e+00
-4.729000000000000092e+00 0.000000000000000000e+00
-4.705000000000000071e+00 2.549999999999999836e-02
-4.681000000000000050e+00 2.495999999999999885e-01
-4.657000000000000028e+00 7.047999999999999821e-01
-4.633000000000000007e+00 1.538699999999999957e+00
-4.608999999999999986e+00 5.189700000000000202e+00
-4.584999999999999964e+00 9.890800000000000480e+00
-4.560999999999999943e+00 1.454889999999999972e+01
-4.536999999999999922e+00 1.905290000000000106e+01
-4.512999999999999901e+00 3.125230000000000175e+01
-4.488999999999999879e+00 4.026850000000000307e+01
-4.464999999999999858e+00 4.890740000000000265e+01
-4.440999999999999837e+00 4.465469999999999828e+01
-4.416999999999999815e+00 4.079719999999999658e+01
-4.392999999999999794e+00 3.812069999999999936e+01
-4.368999999999999773e+00 3.694210000000000349e+01
